ToxicParser Profiler
====================
Target: parser
Profiler: eprof
Profile type: time
Matching: all functions
File limit: 20

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 20 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 20
Total AST nodes: 20850
Total bytes: 315762
Baseline time: 881.66 ms
Throughput: 23649.0 AST nodes/sec
Throughput: 349.75 KB/sec

Running profiler (eprof, time)...

Using eprof
Warmup...


Profile results of #PID<0.195.0>
#                                                                                      CALLS    %   TIME µS/CALL
Total                                                                                1104175 100. 758662    0.07
ToxicParser.Grammar.Stabs.try_parse_stab_clause/4                                       8830 0.01    939    0.11
ToxicParser.Grammar.Blocks.try_parse_clause/4                                           5626 0.01    960    0.17
Enum.filter_list/2                                                                     12860 0.01    982    0.08
ToxicParser.Grammar.Strings.build_string_ast/10                                         6633 0.01   1019    0.15
anonymous fn/2 in ToxicParser.Pratt.pushback_eoe_tokens/2                              27379 0.01   1023    0.04
:lists.max/1                                                                           28357 0.01   1033    0.04
ToxicParser.Grammar.Keywords.parse_kw_pair/5                                            7090 0.01   1053    0.15
Enum.max/1                                                                             28357 0.01   1056    0.04
ToxicParser.Grammar.Keywords.try_parse_kw_data/3                                       29198 0.01   1064    0.04
ToxicParser.Grammar.DoBlocks.starts_no_parens_arg?/1                                   15245 0.01   1089    0.07
ToxicParser.Grammar.Containers.parse_tuple_args/3                                       3743 0.01   1093    0.29
ToxicParser.Builder.Helpers.binary/4                                                   28263 0.01   1104    0.04
Enum."-sum/1-lists^foldl/2-0-"/2                                                       32262 0.01   1115    0.03
anonymous fn/4 in ToxicParser.Grammar.Containers.parse_tuple_args/3                     9278 0.01   1116    0.12
ToxicParser.Grammar.Stabs.parse_stab_patterns/4                                         8830 0.01   1126    0.13
:maps.remove/2                                                                         16817 0.01   1137    0.07
Map.get/3                                                                              32667 0.02   1159    0.04
Toxic.NormalTokenizer.Dot.handle_dot/6                                                 17334 0.02   1183    0.07
ToxicParser.Pratt.build_meta_with_newlines/2                                           28293 0.02   1196    0.04
ToxicParser.Builder.Meta.total_newlines/3                                              32076 0.02   1202    0.04
ToxicParser.Grammar.Dots.parse_paren_call/4                                             2950 0.02   1207    0.41
ToxicParser.Grammar.Stabs.collect_stab_body_exprs/5                                     4442 0.02   1211    0.27
ToxicParser.Grammar.DoBlocks.handle_identifier/9                                       15559 0.02   1272    0.08
ToxicParser.Pratt.led_call/6                                                            2960 0.02   1292    0.44
Enum.predicate_list/3                                                                  18387 0.02   1292    0.07
Process.get/2                                                                          16817 0.02   1292    0.08
ToxicParser.Grammar.Blocks.parse_section_items/5                                       10244 0.02   1346    0.13
ToxicParser.Grammar.Calls.maybe_nested_call/4                                          15868 0.02   1349    0.09
ToxicParser.Pratt.parse_unary_after_eoe_skip/4                                          2806 0.02   1352    0.48
Toxic.NormalTokenizer.Dot.tokenize_dot/6                                               17334 0.02   1365    0.08
:elixir_interpolation.unescape_chars/2                                                  8136 0.02   1388    0.17
Toxic.NormalTokenizer.Comment.tokenize_comment/2                                       38082 0.02   1401    0.04
ToxicParser.Grammar.Bitstrings.parse_base/3                                             3088 0.02   1402    0.45
ToxicParser.Context.no_parens_expr/0                                                   36472 0.02   1421    0.04
ToxicParser.Grammar.Blocks.handle_section_item/6                                        7935 0.02   1450    0.18
ToxicParser.Grammar.Calls.parse_no_parens_args/5                                        5406 0.02   1472    0.27
ToxicParser.Pratt.restrict_no_parens_extension/1                                       31145 0.02   1475    0.05
Enum.map/2                                                                             40167 0.02   1497    0.04
ToxicParser.Builder.Meta.closing_meta/3                                                40352 0.02   1506    0.04
:unicode.characters_to_list/2                                                            164 0.02   1582    9.65
ToxicParser.Context.container_expr/0                                                   44685 0.02   1583    0.04
ToxicParser.Builder.Meta.newlines_kv/1                                                 42006 0.02   1593    0.04
ToxicParser.Grammar.Keywords.try_parse_kw_call/3                                       45619 0.02   1626    0.04
ToxicParser.Pratt.led_dot/6                                                             4350 0.02   1639    0.38
Toxic.Driver.Contexts.delimiter_length/1                                               21787 0.02   1665    0.08
ToxicParser.Grammar.Stabs.parse_stab_pattern_expr/2                                     8824 0.02   1680    0.19
anonymous fn/4 in ToxicParser.Grammar.Calls.parse_identifier/5                         42842 0.02   1704    0.04
Toxic.Driver.Contexts.compute_start_info/4                                             21787 0.02   1745    0.08
Toxic.InterpolationTokenizer.next/6                                                    49352 0.02   1798    0.04
anonymous fn/4 in ToxicParser.Grammar.CallsPrivate.parse_call_args_parens_list/3       14362 0.02   1799    0.13
ToxicParser.Grammar.DoBlocks.maybe_parse_no_parens/7                                   15559 0.02   1823    0.12
anonymous fn/5 in Toxic.Driver.handle_tokenize_result/2                                48206 0.02   1873    0.04
:unicode.characters_to_binary/1                                                        23549 0.02   1878    0.08
ToxicParser.Grammar.Stabs.parse_stab_pattern_exprs/4                                    8824 0.02   1892    0.21
ToxicParser.Builder.Helpers.identifier/2                                               47675 0.03   1897    0.04
Toxic.Util.characters_to_binary/1                                                      23549 0.03   1904    0.08
:erlang.make_ref/0                                                                     45134 0.03   1932    0.04
List.last/1                                                                            54675 0.03   1991    0.04
ToxicParser.Pratt.parse_paren_call_base/4                                               5508 0.03   2032    0.37
ToxicParser.Pratt.maybe_attach_do_block/7                                              46178 0.03   2047    0.04
ToxicParser.Grammar.Keywords.try_parse_call_args_no_parens_kw/4                         8008 0.03   2117    0.26
Toxic.NormalTokenizer.Keyword.tokenize_keyword_terminator/5                            40162 0.03   2144    0.05
anonymous fn/4 in ToxicParser.Grammar.Bitstrings.parse_base/3                          16764 0.03   2157    0.13
Keyword.delete_key/2                                                                   55159 0.03   2173    0.04
Toxic.drop_checkpoint/1                                                                28317 0.03   2191    0.08
Keyword.keyword?/1                                                                     57288 0.03   2196    0.04
ToxicParser.Grammar.Strings.parse_simple_string/5                                       6649 0.03   2211    0.33
ToxicParser.Grammar.Calls.parse_nested_paren_call/4                                     6504 0.03   2212    0.34
Map.pop!/2                                                                             28317 0.03   2266    0.08
Toxic.Util.increase_eol/4                                                              57006 0.03   2315    0.04
ToxicProfiler.count_ast_nodes/1                                                        34584 0.03   2328    0.07
:maps.take/2                                                                           28317 0.03   2332    0.08
ToxicParser.Grammar.Stabs.parse_stab_clause_after_patterns/6                            8830 0.03   2387    0.27
ToxicParser.Grammar.CallsPrivate.parse_call_args_parens/3                              31257 0.03   2485    0.08
Toxic.rewind_to/3                                                                      16817 0.03   2503    0.15
ToxicParser.Pratt.build_binary_op/4                                                    28275 0.03   2507    0.09
ToxicParser.Pratt.parse_with_min_bp/5                                                  15817 0.03   2559    0.16
ToxicParser.Pratt.parse/3                                                              21683 0.04   2734    0.13
Keyword.take/2                                                                         68510 0.04   2762    0.04
ToxicParser.Pratt.parse_rhs_identifier/6                                               12471 0.04   2774    0.22
ToxicParser.Grammar.Strings.parse/3                                                    77213 0.04   2785    0.04
ToxicParser.Pratt.build_meta/1                                                         63436 0.04   2897    0.05
ToxicParser.Pratt.maybe_nested_call_or_do_block/6                                      13452 0.04   2990    0.22
ToxicParser.TokenAdapter.pushback/2                                                    46682 0.04   2994    0.06
ToxicParser.Grammar.Containers.parse/3                                                 82853 0.04   3081    0.04
ToxicParser.Pratt.ensure_no_parens_extension_opt/1                                     29245 0.04   3110    0.11
ToxicParser.Grammar.Strings.collect_parts/5                                            19014 0.04   3237    0.17
ToxicParser.Pratt.literal_to_ast/1                                                     46332 0.04   3258    0.07
Process.delete/1                                                                       45134 0.05   3432    0.08
ToxicParser.Grammar.Calls.parse_paren_call/4                                            9364 0.05   3433    0.37
Process.put/2                                                                          45134 0.05   3446    0.08
:lists.max/2                                                                           85071 0.05   3497    0.04
ToxicParser.TokenAdapter.rewind/2                                                      16817 0.05   3563    0.21
:erlang.erase/1                                                                        45134 0.05   3609    0.08
:erts_internal.list_to_integer/2                                                       73816 0.05   3612    0.05
ToxicParser.Pratt.led/5                                                                97609 0.05   3616    0.04
ToxicParser.Pratt.is_binary_only_op/1                                                  49090 0.05   3659    0.07
ToxicParser.Grammar.Expressions.expr/3                                                 82983 0.05   3696    0.04
:erlang.put/2                                                                          45134 0.05   3711    0.08
Keyword.merge/2                                                                        32877 0.05   3824    0.12
ToxicParser.Builder.Helpers.from_token/1                                               52265 0.05   3912    0.07
Toxic.InterpolationTokenizer.extract_nl/8                                              49127 0.05   3945    0.08
ToxicParser.TokenAdapter.drop_checkpoint/2                                             28317 0.05   3949    0.14
ToxicParser.Precedence.unary/1                                                         54702 0.05   3969    0.07
ToxicParser.Grammar.DoBlocks.maybe_handle/9                                            98097 0.05   4111    0.04
ToxicParser.Identifiers.classify/1                                                    111182 0.06   4186    0.04
ToxicParser.Pratt.parse_rhs/6                                                          31145 0.06   4454    0.14
ToxicParser.Grammar.Delimited.parse_comma_separated/6                                  17020 0.06   4695    0.28
ToxicParser.Builder.Meta.consume_closing/2                                             32076 0.07   5041    0.16
ToxicParser.Grammar.Keywords.try_parse_kw_data/4                                       29198 0.07   5483    0.19
ToxicParser.Grammar.DoBlocks.attach_if_do/6                                            82538 0.07   5591    0.07
:erlang.list_to_integer/1                                                              73696 0.08   5693    0.08
Toxic.NormalTokenizer.Number.reverse_number/3                                         151831 0.08   5748    0.04
ToxicParser.Builder.Helpers.token_meta/1                                              133643 0.08   5850    0.04
ToxicParser.Context.allow_do_block?/1                                                 150543 0.08   5871    0.04
Toxic.Util.emit_with_eol/5                                                            151201 0.08   5973    0.04
Toxic.NormalTokenizer.Terminator.terminator/1                                         167361 0.08   6011    0.04
ToxicParser.Pratt.pushback_eoe_tokens/2                                               140777 0.08   6257    0.04
ToxicParser.Pratt.parse_binary_rhs/9                                                   26865 0.08   6282    0.23
ToxicParser.Pratt.peek_past_eoe/1                                                     176687 0.09   6457    0.04
ToxicParser.Grammar.EOE.skip_count_newlines/2                                          81282 0.09   6623    0.08
Keyword.put/3                                                                          73701 0.09   6704    0.09
ToxicParser.Pratt.nud_literal_or_unary/6                                               51896 0.09   6804    0.13
ToxicParser.Grammar.Blocks.parse/3                                                     83243 0.09   6856    0.08
ToxicParser.NoParens.can_start_no_parens_arg?/1                                        98583 0.09   6862    0.07
ToxicParser.Pratt.led_binary/9                                                         28357 0.09   6999    0.25
Toxic.fetch_tokens_from_driver/3                                                      168933 0.09   7015    0.04
ToxicParser.Grammar.Strings.parse/5                                                    82788 0.09   7054    0.09
ToxicParser.Grammar.EOE.skip/1                                                         89849 0.09   7069    0.08
anonymous fn/2 in Keyword.take/2                                                       96113 0.09   7089    0.07
Toxic.checkpoint/1                                                                     45134 0.09   7138    0.16
ToxicParser.Grammar.Containers.parse/4                                                 84295 0.10   7262    0.09
ToxicParser.Builder.Meta.closing_meta/5                                                42006 0.10   7342    0.17
:unicode.characters_to_binary/2                                                        23549 0.10   7410    0.31
Toxic.NormalTokenizer.eol/4                                                           180862 0.10   7461    0.04
Toxic.InterpolationTokenizer.strip_horizontal_space/3                                 212019 0.11   7995    0.04
Toxic.NormalTokenizer.Number.tokenize_number/4                                         77475 0.11   8348    0.11
ToxicParser.Grammar.CallsPrivate.try_single_no_parens_arg/3                            31232 0.11   8431    0.27
ToxicParser.Grammar.CallsPrivate.parse_paren_args/4                                    32076 0.11   8441    0.26
ToxicParser.Pratt.bp/1                                                                118406 0.11   8628    0.07
ToxicParser.Grammar.Keywords.try_parse_kw_call/4                                       45619 0.12   8795    0.19
Enum.reduce/3                                                                         239930 0.12   8994    0.04
ToxicParser.TokenAdapter.checkpoint/1                                                  45134 0.12   9279    0.21
Toxic.NormalTokenizer.Keyword.tokenize_keyword/8                                       74532 0.12   9408    0.13
:erlang.setelement/3                                                                  188953 0.12   9449    0.05
Toxic.NormalTokenizer.handle_space_sensitive_tokens/5                                 252183 0.12   9480    0.04
Toxic.Util.no_token/4                                                                 252227 0.13   9945    0.04
:lists.keymember/3                                                                    228370 0.13  10147    0.04
ToxicParser.Pratt.nud/5                                                                54462 0.14  10268    0.19
Enum."-map/2-lists^map/1-1-"/2                                                        118540 0.14  10449    0.09
ToxicParser.Grammar.EOE.skip_newlines_only/2                                          129238 0.14  10539    0.08
anonymous fn/3 in Keyword.merge/2                                                     150539 0.14  10824    0.07
Keyword.has_key?/2                                                                    150539 0.14  10965    0.07
ToxicParser.Grammar.Calls.parse/3                                                      74236 0.15  11065    0.15
Toxic.Util.previous_was_eol/1                                                         299186 0.15  11449    0.04
ToxicParser.Grammar.Strings.trim_chars/6                                              323354 0.15  11463    0.04
Toxic.NormalTokenizer.Operator.handle_op/8                                            104001 0.15  11544    0.11
List.keyfind/3                                                                        357119 0.17  12548    0.04
ToxicParser.Grammar.Delimited.maybe_skip_eoe/3                                         90130 0.17  12672    0.14
Keyword."-take/2-lists^filter/1-1-"/2                                                 164623 0.17  13101    0.08
ToxicParser.Grammar.Calls.parse_identifier/5                                           66373 0.18  13357    0.20
Toxic.NormalTokenizer.maybe_warn_for_ambiguous_bang_before_equals/6                   364515 0.18  13412    0.04
ToxicParser.Pratt.nud_identifier_or_literal/6                                          49090 0.18  13423    0.27
ToxicParser.Grammar.Keywords.starts_kw?/1                                             182832 0.18  13468    0.07
Toxic.NormalTokenizer.Identifier.check_call_identifier/6                              348995 0.18  13782    0.04
Keyword.get/2                                                                         392408 0.19  14039    0.04
Toxic.NormalTokenizer.tokenize_eol/4                                                  180862 0.19  14467    0.08
Toxic.Scope.track_ascii/2                                                             396851 0.19  14789    0.04
ToxicParser.TokenAdapter.consume_fuel/1                                               387184 0.22  16400    0.04
ToxicParser.Grammar.Expressions.parse_with_layers/3                                    82983 0.22  16600    0.20
ToxicParser.Grammar.Delimited.parse_items_rev/8                                        45367 0.22  16601    0.37
:elixir_interpolation.unescape_chars/3                                                428145 0.22  16817    0.04
Keyword."-merge/2-lists^filter/1-0-"/2                                                171910 0.22  16916    0.10
Toxic.NormalTokenizer.Identifier.maybe_keyword?/1                                     439202 0.23  17092    0.04
Toxic.Util.previous_was_dot?/1                                                        455863 0.23  17202    0.04
Toxic.NormalTokenizer.Identifier.keyword_or_unsafe_to_atom/5                          471383 0.26  19553    0.04
ToxicParser.Pratt.led_dispatch/9                                                      176667 0.27  20445    0.12
ToxicParser.Pratt.led/6                                                               176687 0.28  21034    0.12
ToxicParser.Precedence.binary/1                                                       302417 0.29  22061    0.07
ToxicParser.Pratt.peek_past_eoe/3                                                     204066 0.30  22553    0.11
Toxic.NormalTokenizer.Terminator.handle_terminator/6                                  360179 0.34  25590    0.07
List.keyfind/4                                                                        357119 0.34  25937    0.07
:lists.split/2                                                                        340110 0.35  26356    0.08
ToxicParser.Grammar.DoBlocks.maybe_do_block/5                                          98097 0.38  28668    0.29
Toxic.NormalTokenizer.Terminator.check_terminator/3                                   360179 0.38  28790    0.08
Toxic.refill_buffer/1                                                                 168933 0.42  31586    0.19
String.Tokenizer.tokenize/1                                                           471527 0.44  33218    0.07
:lists.reverse/1                                                                      476605 0.45  34345    0.07
String.Tokenizer.validate/2                                                           471383 0.47  35687    0.08
ToxicParser.TokenAdapter.next/1                                                       387184 0.48  36738    0.09
Toxic.Util.unsafe_to_atom/4                                                           400012 0.50  37715    0.09
Enum.member?/2                                                                        612196 0.59  44776    0.07
Toxic.Util.emit/5                                                                    1113532 0.62  46883    0.04
anonymous fn/2 in Toxic.refill_buffer/1                                              1350912 0.63  47488    0.04
:queue.in/2                                                                          1350912 0.67  51064    0.04
:lists.split/3                                                                       1017880 0.68  51499    0.05
Toxic.start_pos/1                                                                    1350912 0.68  51751    0.04
Enum.with_index/2                                                                    1519957 0.69  52312    0.03
Enum.flat_map/2                                                                      1519957 0.71  53609    0.04
Enum.with_index/1                                                                    1519957 0.73  55344    0.04
ToxicParser.TokenAdapter.delimiter_role/1                                            1419260 0.74  56242    0.04
:lists.member/2                                                                      1123470 0.74  56332    0.05
ToxicParser.TokenAdapter.delimiter/1                                                 1419260 0.74  56406    0.04
ToxicParser.TokenAdapter.synthesized?/1                                              1419260 0.75  57266    0.04
Access.get/2                                                                         1641767 0.77  58042    0.04
:queue.peek/1                                                                        1419380 0.77  58403    0.04
ToxicParser.TokenAdapter.newline_count/1                                             1482203 0.79  59609    0.04
Toxic.Util.strip_horizontal_space/2                                                  1732041 0.83  62852    0.04
anonymous fn/2 in Toxic.Driver.current_terminators/1                                 1639381 0.87  66131    0.04
Toxic.NormalTokenizer.Identifier.tokenize_identifier/5                                471527 0.89  67331    0.14
List.wrap/1                                                                          1709925 0.89  67642    0.04
:lists.reverse/2                                                                     1252977 0.91  69001    0.06
Toxic.InterpolationTokenizer.next/9                                                  1832896 0.92  69515    0.04
ToxicParser.TokenAdapter.peek/1                                                      1660342 0.93  70257    0.04
Toxic.Driver.return_token/3                                                          1350840 0.96  72940    0.05
Toxic.Driver.Deferrals.flush/2                                                        685067 0.97  73967    0.11
Keyword.get/3                                                                        1040669 1.00  76231    0.07
Toxic.Driver.Deferrals.append/3                                                       601036 1.11  84176    0.14
:erlang.list_to_atom/1                                                                902385 1.26  95716    0.11
String.Tokenizer.continue/6                                                          2575417 1.29  97704    0.04
:queue.out/1                                                                         1588293 1.35 102669    0.06
Toxic.current_terminators/1                                                          1419380 1.36 103282    0.07
ToxicParser.TokenAdapter.normalize_token/3                                           1419260 1.43 108232    0.08
Enum."-reduce/3-lists^foldl/2-0-"/3                                                  1676526 1.44 109124    0.07
Toxic.terms_at_current_position/1                                                    1419380 1.49 113394    0.08
ToxicParser.Position.to_location/3                                                   2838520 1.50 114045    0.04
Access.get/3                                                                         1641767 1.59 120653    0.07
Map.update!/3                                                                        1419260 1.59 120689    0.09
ToxicParser.TokenAdapter.maybe_cache/3                                               1419260 1.59 120847    0.09
Enum.reverse/1                                                                       3229537 1.66 125829    0.04
anonymous fn/2 in ToxicParser.TokenAdapter.update_state/6                            1419260 1.98 150475    0.11
:lists.keyfind/3                                                                     3039555 2.05 155812    0.05
Toxic.next/1                                                                         1588293 2.16 163654    0.10
Toxic.Driver.handle_tokenize_result/2                                                1645210 2.22 168277    0.10
Enum.with_index_list/2                                                               3159338 2.25 170599    0.05
Enum.flat_map_list/2                                                                 3159338 2.25 171066    0.05
ToxicParser.TokenAdapter.update_state/6                                              1419260 2.37 179460    0.13
Toxic.fetch_tokens_from_driver/6                                                     1519845 2.64 200478    0.13
Toxic.NormalTokenizer.next/5                                                         1597004 2.91 220427    0.14
ToxicParser.TokenAdapter.fetch_next/2                                                1419360 3.32 251517    0.18
Toxic.Driver.current_terminators/1                                                   1519957 3.39 257451    0.17
ToxicParser.TokenAdapter.metadata/4                                                  1419260 4.56 346113    0.24
:erlang.++/2                                                                         8001428 5.05 382811    0.05
Toxic.Driver.next/2                                                                  2954001 5.24 397437    0.13

Profile done over 552 matching functions
