ToxicParser Profiler
====================
Target: parser
Profiler: eprof
Profile type: time
Matching: all functions
File limit: 20

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 20 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 20
Total AST nodes: 20850
Total bytes: 315762
Baseline time: 881.66 ms
Throughput: 23649.0 AST nodes/sec
Throughput: 349.75 KB/sec

Running profiler (eprof, time)...

Using eprof
Warmup...


Profile results of #PID<0.195.0>
#                                                                                      CALLS    %   TIME µS/CALL
Total                                                                                1104175 100. 758662    0.07
Toxic.Driver.Contexts.check_identifier_validity/3                                        144 0.00     16    0.11
ToxicParser.Grammar.Strings.escaped_by_preceding_backslash?/1                            196 0.00     16    0.08
ToxicParser.Grammar.Containers.parse_paren_content/5                                      98 0.00     17    0.17
ToxicParser.Grammar.Stabs.build_stab_block/1                                             446 0.00     17    0.04
ToxicParser.Grammar.Calls.build_bracket_meta_with_newlines/3                             116 0.00     18    0.16
Enum.drop_exact/2                                                                        414 0.00     18    0.04
:gen.do_for_proc/2                                                                        20 0.00     18    0.90
ToxicParser.Pratt.led_dots_and_calls/4                                                   136 0.00     19    0.14
ToxicParser.Grammar.Stabs.collect_stab/1                                                 398 0.00     19    0.05
Toxic.Unescape.unescape_map/1                                                            534 0.00     20    0.04
:erlang.whereis/1                                                                         20 0.00     20    1.00
String.to_charlist/1                                                                     164 0.00     20    0.12
String.Chars.to_string/1                                                                  64 0.00     20    0.31
ToxicParser.Grammar.Brackets.parse_bracket_arg_no_skip/2                                 129 0.00     20    0.16
ToxicParser.State.line_index/1                                                            20 0.00     21    1.05
Toxic.Driver.Contexts.is_unnecessary_quote/4                                             368 0.00     21    0.06
ToxicParser.Grammar.Maps.parse_map_base_expr/3                                           124 0.00     21    0.17
ToxicParser.Grammar.Calls.parse_bracket_access_no_led/5                                   54 0.00     22    0.41
ToxicParser.Pratt.parse_base_with_dots_and_calls/3                                       124 0.00     22    0.18
File.read/1                                                                               20 0.00     22    1.10
anonymous fn/5 in Enum.slice_count_and_fun/2                                             414 0.00     22    0.05
ToxicParser.Grammar.Maps.parse_map_update_rhs/4                                           64 0.00     22    0.34
ToxicParser.Grammar.Calls.parse_no_parens_args/4                                         425 0.00     24    0.06
