ToxicParser Profiler
====================
Target: parser
Profiler: auto
Profile type: calls
Matching: all functions
File limit: 50

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 50 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 50
Total AST nodes: 90645
Total bytes: 1330661
Baseline time: 3288.15 ms
Throughput: 27567.0 AST nodes/sec
Throughput: 395.2 KB/sec

Running profiler (auto, calls)...

Using tprof for call counting (OTP 27+)
Warmup...


Profile results over all processes
#                                                                                        CALLS      %
Total                                                                                423010958 100.00
Toxic.Driver.Contexts.delimiter_length/1                                                 56741   0.01
Toxic.NormalTokenizer.Alias.tokenize_alias/10                                            58786   0.01
ToxicParser.TokenAdapter.drop_checkpoint/2                                               59623   0.01
:maps.take/2                                                                             59623   0.01
Map.pop!/2                                                                               59623   0.01
Toxic.drop_checkpoint/1                                                                  59623   0.01
Toxic.NormalTokenizer.Operator.handle_unary_op/8                                         62224   0.01
ToxicParser.Pratt.parse_binary_rhs/9                                                     63795   0.02
:unicode.characters_to_binary/2                                                          64228   0.02
:unicode.characters_to_binary/1                                                          64228   0.02
Toxic.Util.characters_to_binary/1                                                        64228   0.02
ToxicParser.Builder.Helpers.binary/4                                                     68471   0.02
ToxicParser.Pratt.build_binary_op/4                                                      68581   0.02
ToxicParser.Pratt.build_meta_with_newlines/2                                             68709   0.02
ToxicParser.Pratt.led_binary/9                                                           69013   0.02
Enum.max/1                                                                               69013   0.02
:lists.max/1                                                                             69013   0.02
ToxicParser.Pratt.parse_with_min_bp/5                                                    70432   0.02
Toxic.NormalTokenizer.Dot.handle_dot/6                                                   72010   0.02
Toxic.NormalTokenizer.Dot.tokenize_dot/6                                                 72010   0.02
ToxicParser.Pratt.ensure_no_parens_extension_opt/1                                       72913   0.02
ToxicParser.TokenAdapter.rewind/2                                                        74439   0.02
:maps.remove/2                                                                           74439   0.02
Process.get/1                                                                            74439   0.02
Process.get/2                                                                            74439   0.02
Toxic.rewind_to/2                                                                        74439   0.02
Toxic.rewind_to/3                                                                        74439   0.02
ToxicParser.Grammar.CallsPrivate.try_single_no_parens_arg/3                              76066   0.02
ToxicParser.Grammar.CallsPrivate.parse_call_args_parens/3                                76229   0.02
ToxicParser.Pratt.restrict_no_parens_extension/1                                         79545   0.02
ToxicParser.Pratt.parse_rhs/6                                                            79617   0.02
ToxicParser.Grammar.CallsPrivate.parse_paren_args/4                                      80760   0.02
ToxicParser.Builder.Meta.consume_closing/2                                               80760   0.02
ToxicParser.Builder.Meta.total_newlines/3                                                80760   0.02
ToxicParser.Pratt.nud/4                                                                  81899   0.02
ToxicParser.Pratt.parse/3                                                                81899   0.02
ToxicParser.Grammar.Containers.token_meta/1                                              88006   0.02
Map.get/3                                                                                93261   0.02
ToxicParser.Context.expr/0                                                               93272   0.02
anonymous fn/1 in ToxicParser.Grammar.CallsPrivate.finalize_call_args_parens_items/1     93494   0.02
anonymous fn/4 in ToxicParser.Grammar.CallsPrivate.parse_call_args_parens_list/3         95110   0.02
ToxicParser.Context.no_parens_expr/0                                                     96057   0.02
ToxicParser.Grammar.Delimited.parse_items_rev/7                                          97313   0.02
ToxicParser.Grammar.Delimited.parse_comma_separated/6                                   100729   0.02
anonymous fn/1 in ToxicParser.Grammar.Containers.finalize_tuple_items/1                 100930   0.02
anonymous fn/4 in ToxicParser.Grammar.Containers.parse_tuple_args/3                     100970   0.02
List.last/2                                                                             107043   0.03
anonymous fn/2 in ToxicParser.Pratt.pushback_eoe_tokens/2                               114808   0.03
:erlang.list_to_integer/1                                                               119576   0.03
:erts_internal.list_to_integer/2                                                        119980   0.03
ToxicParser.Builder.Meta.closing_meta/3                                                 132538   0.03
:erlang.erase/1                                                                         134062   0.03
:erlang.make_ref/0                                                                      134062   0.03
:erlang.put/2                                                                           134062   0.03
ToxicParser.TokenAdapter.checkpoint/1                                                   134062   0.03
Process.delete/1                                                                        134062   0.03
Process.put/2                                                                           134062   0.03
Toxic.checkpoint/1                                                                      134062   0.03
ToxicParser.Grammar.Keywords.try_parse_kw_data/3                                        137221   0.03
ToxicParser.Grammar.Keywords.try_parse_kw_data/4                                        137221   0.03
Toxic.InterpolationTokenizer.next/6                                                     138901   0.03
Toxic.NormalTokenizer.Number.tokenize_number/4                                          138922   0.03
ToxicParser.Builder.Meta.closing_meta/5                                                 139492   0.03
ToxicParser.Builder.Meta.newlines_kv/1                                                  139492   0.03
Enum."-sum/1-lists^foldl/2-0-"/2                                                        139707   0.03
Keyword.delete_key/2                                                                    140837   0.03
ToxicParser.Pratt.maybe_attach_do_block/7                                               146733   0.03
ToxicParser.Pratt.literal_to_ast/1                                                      148313   0.04
ToxicProfiler.count_ast_nodes/1                                                         150459   0.04
ToxicParser.Context.container_expr/0                                                    150481   0.04
ToxicParser.Pratt.is_binary_only_op/1                                                   157677   0.04
ToxicParser.Pratt.nud_identifier_or_literal/6                                           157677   0.04
ToxicParser.TokenAdapter.pushback/2                                                     163094   0.04
Keyword.put/3                                                                           164551   0.04
ToxicParser.Pratt.nud_literal_or_unary/6                                                168345   0.04
Keyword.merge/2                                                                         171261   0.04
ToxicParser.Grammar.Keywords.try_parse_kw_call/3                                        171339   0.04
ToxicParser.Grammar.Keywords.try_parse_kw_call/4                                        171339   0.04
Enum.map/2                                                                              171465   0.04
Toxic.InterpolationTokenizer.extract_nl/8                                               173164   0.04
ToxicParser.Pratt.nud/5                                                                 178925   0.04
ToxicParser.Precedence.unary/1                                                          179005   0.04
ToxicParser.Pratt.build_meta/1                                                          181022   0.04
Toxic.NormalTokenizer.Keyword.tokenize_keyword_terminator/5                             188783   0.04
anonymous fn/4 in ToxicParser.Grammar.Calls.parse_identifier/5                          195228   0.05
Keyword.take/2                                                                          206397   0.05
:lists.max/2                                                                            207039   0.05
Toxic.Util.increase_eol/4                                                               215141   0.05
anonymous fn/5 in Toxic.Driver.handle_tokenize_result/2                                 215664   0.05
ToxicParser.Builder.Helpers.identifier/2                                                217841   0.05
anonymous fn/2 in Keyword.take/2                                                        225811   0.05
ToxicParser.Builder.Helpers.from_token/1                                                236533   0.06
ToxicParser.Grammar.Delimited.parse_items_rev/8                                         239532   0.06
ToxicParser.Grammar.EOE.skip_count_newlines/2                                           245245   0.06
ToxicParser.Grammar.Calls.parse_identifier/5                                            247919   0.06
Toxic.NormalTokenizer.Number.reverse_number/3                                           262900   0.06
List.last/1                                                                             279653   0.07
ToxicParser.Grammar.EOE.skip/1                                                          283968   0.07
Toxic.NormalTokenizer.Keyword.tokenize_keyword/8                                        294662   0.07
Keyword.keyword?/1                                                                      298884   0.07
ToxicParser.Grammar.Calls.parse/3                                                       302497   0.07
Toxic.NormalTokenizer.Operator.handle_op/8                                              309143   0.07
ToxicParser.Grammar.Strings.parse/3                                                     310420   0.07
ToxicParser.Grammar.Strings.parse/5                                                     322459   0.08
ToxicParser.Grammar.DoBlocks.attach_if_do/6                                             322938   0.08
ToxicParser.Grammar.Containers.parse/3                                                  348675   0.08
ToxicParser.Grammar.Expressions.expr/3                                                  349867   0.08
ToxicParser.Grammar.Expressions.parse_with_layers/3                                     349867   0.08
ToxicParser.Grammar.Blocks.parse/3                                                      350253   0.08
ToxicParser.Grammar.Containers.parse/4                                                  357525   0.08
ToxicParser.Grammar.DoBlocks.maybe_do_block/5                                           359667   0.09
ToxicParser.Grammar.DoBlocks.maybe_handle/9                                             359667   0.09
ToxicParser.NoParens.can_start_no_parens_arg?/1                                         375487   0.09
ToxicParser.Identifiers.classify/1                                                      405049   0.10
ToxicParser.Pratt.led/5                                                                 418319   0.10
Keyword."-take/2-lists^filter/1-1-"/2                                                   432208   0.10
ToxicParser.Pratt.bp/1                                                                  434452   0.10
Toxic.Util.emit_with_eol/5                                                              451195   0.11
ToxicParser.Grammar.Delimited.maybe_skip_eoe/3                                          480098   0.11
Toxic.NormalTokenizer.Comment.tokenize_comment/2                                        518599   0.12
Enum."-map/2-lists^map/1-1-"/2                                                          527306   0.12
ToxicParser.Context.allow_do_block?/1                                                   532940   0.13
ToxicParser.Pratt.pushback_eoe_tokens/2                                                 541906   0.13
ToxicParser.Builder.Helpers.token_meta/1                                                557619   0.13
ToxicParser.Grammar.EOE.skip_newlines_only/2                                            587702   0.14
Toxic.NormalTokenizer.Terminator.terminator/1                                           604745   0.14
ToxicParser.Pratt.led_dispatch/9                                                        645464   0.15
ToxicParser.Pratt.led/6                                                                 645514   0.15
ToxicParser.Pratt.peek_past_eoe/1                                                       645514   0.15
Toxic.fetch_tokens_from_driver/3                                                        649688   0.15
Toxic.refill_buffer/1                                                                   649688   0.15
:erlang.setelement/3                                                                    662497   0.16
Toxic.InterpolationTokenizer.strip_horizontal_space/3                                   712127   0.17
ToxicParser.Grammar.Keywords.starts_kw?/1                                               726313   0.17
Toxic.NormalTokenizer.eol/4                                                             759728   0.18
Toxic.NormalTokenizer.tokenize_eol/4                                                    759728   0.18
ToxicParser.Pratt.peek_past_eoe/3                                                       760322   0.18
Keyword.has_key?/2                                                                      905009   0.21
anonymous fn/3 in Keyword.merge/2                                                       905009   0.21
Enum.reduce/3                                                                           963455   0.23
Toxic.Util.previous_was_eol/1                                                           974304   0.23
Keyword."-merge/2-lists^filter/1-0-"/2                                                 1023302   0.24
:lists.keymember/3                                                                     1088240   0.26
ToxicParser.Precedence.binary/1                                                        1111160   0.26
ToxicParser.Grammar.Strings.trim_chars/6                                               1179452   0.28
Toxic.NormalTokenizer.handle_space_sensitive_tokens/5                                  1246258   0.29
Toxic.Util.no_token/4                                                                  1246410   0.29
List.keyfind/3                                                                         1290165   0.30
List.keyfind/4                                                                         1290165   0.30
:lists.split/2                                                                         1295803   0.31
:elixir_interpolation.unescape_chars/3                                                 1320113   0.31
Toxic.NormalTokenizer.Terminator.check_terminator/3                                    1333903   0.32
Toxic.NormalTokenizer.Terminator.handle_terminator/6                                   1333903   0.32
ToxicParser.TokenAdapter.consume_fuel/1                                                1398003   0.33
ToxicParser.TokenAdapter.next/1                                                        1398003   0.33
Toxic.NormalTokenizer.Identifier.check_call_identifier/6                               1408711   0.33
Keyword.get/2                                                                          1438718   0.34
Toxic.NormalTokenizer.maybe_warn_for_ambiguous_bang_before_equals/6                    1556290   0.37
Toxic.Scope.track_ascii/2                                                              1681897   0.40
Toxic.Util.unsafe_to_atom/4                                                            1690679   0.40
Toxic.NormalTokenizer.Identifier.maybe_keyword?/1                                      1763895   0.42
Toxic.Util.previous_was_dot?/1                                                         1828952   0.43
String.Tokenizer.validate/2                                                            1976786   0.47
Toxic.NormalTokenizer.Identifier.keyword_or_unsafe_to_atom/5                           1976786   0.47
String.Tokenizer.tokenize/1                                                            1977665   0.47
Toxic.NormalTokenizer.Identifier.tokenize_identifier/5                                 1977665   0.47
:lists.reverse/1                                                                       2004042   0.47
Toxic.Driver.Deferrals.append/3                                                        2167855   0.51
Enum.member?/2                                                                         2608796   0.62
Toxic.Driver.Deferrals.flush/2                                                         2851625   0.67
:erlang.list_to_atom/1                                                                 3487492   0.82
Keyword.get/3                                                                          3725650   0.88
:lists.split/3                                                                         3890456   0.92
:lists.member/2                                                                        4437541   1.05
Toxic.Util.emit/5                                                                      4501730   1.06
:lists.reverse/2                                                                       5086699   1.20
Toxic.Driver.return_token/3                                                            5196020   1.23
Toxic.start_pos/1                                                                      5196092   1.23
anonymous fn/2 in Toxic.refill_buffer/1                                                5196092   1.23
:queue.in/2                                                                            5196092   1.23
ToxicParser.TokenAdapter.delimiter/1                                                   5241328   1.24
ToxicParser.TokenAdapter.delimiter_role/1                                              5241328   1.24
ToxicParser.TokenAdapter.maybe_cache/3                                                 5241328   1.24
ToxicParser.TokenAdapter.metadata/4                                                    5241328   1.24
ToxicParser.TokenAdapter.normalize_token/3                                             5241328   1.24
ToxicParser.TokenAdapter.synthesized?/1                                                5241328   1.24
ToxicParser.TokenAdapter.update_state/6                                                5241328   1.24
anonymous fn/2 in ToxicParser.TokenAdapter.update_state/6                              5241328   1.24
Map.update!/3                                                                          5241328   1.24
ToxicParser.TokenAdapter.fetch_next/2                                                  5241578   1.24
Toxic.current_terminators/1                                                            5241628   1.24
Toxic.terms_at_current_position/1                                                      5241628   1.24
:queue.peek/1                                                                          5241628   1.24
ToxicParser.TokenAdapter.newline_count/1                                               5503176   1.30
Toxic.fetch_tokens_from_driver/6                                                       5845780   1.38
Enum.flat_map/2                                                                        5846062   1.38
Enum.with_index/1                                                                      5846062   1.38
Enum.with_index/2                                                                      5846062   1.38
Toxic.Driver.current_terminators/1                                                     5846062   1.38
Toxic.next/1                                                                           5891266   1.39
:queue.out/1                                                                           5891266   1.39
Toxic.InterpolationTokenizer.next/9                                                    6218844   1.47
anonymous fn/2 in Toxic.Driver.current_terminators/1                                   6270476   1.48
ToxicParser.TokenAdapter.peek/1                                                        6377955   1.51
Access.get/2                                                                           6429462   1.52
Access.get/3                                                                           6429462   1.52
Toxic.NormalTokenizer.next/5                                                           6486107   1.53
Enum."-reduce/3-lists^foldl/2-0-"/3                                                    6532596   1.54
Toxic.Driver.handle_tokenize_result/2                                                  6701771   1.58
List.wrap/1                                                                            6897493   1.63
Toxic.Util.strip_horizontal_space/2                                                    6915994   1.63
ToxicParser.Position.to_location/3                                                    10482656   2.48
String.Tokenizer.continue/6                                                           11379958   2.69
:lists.keyfind/3                                                                      11445277   2.71
Toxic.Driver.next/2                                                                   11707440   2.77
Enum.flat_map_list/2                                                                  12116538   2.86
Enum.with_index_list/2                                                                12116538   2.86
Enum.reverse/1                                                                        12188587   2.88
:erlang.++/2                                                                          30552244   7.22

Profile done over 592 matching functions
