ToxicParser Profiler
====================
Target: parser
Profiler: auto
Profile type: calls
Matching: all functions
File limit: 50

Projects: man, bin, LICENSES, .ort, .github, lib, .git
Collected 50 files to profile

Loading code...
Running baseline measurement...

Baseline Results:
-----------------
Files processed: 50
Total AST nodes: 90645
Total bytes: 1330661
Baseline time: 3288.15 ms
Throughput: 27567.0 AST nodes/sec
Throughput: 395.2 KB/sec

Running profiler (auto, calls)...

Using tprof for call counting (OTP 27+)
Warmup...


Profile results over all processes
#                                                                                        CALLS      %
Total                                                                                423010958 100.00
ToxicParser.Grammar.Maps.token_meta_with_newlines/2                                        304   0.00
String.Chars.to_string/1                                                                   304   0.00
String.Chars.impl_for!/1                                                                   304   0.00
String.Chars.impl_for/1                                                                    304   0.00
ToxicParser.Grammar.Strings.count_leading_backslashes/1                                    306   0.00
ToxicParser.Grammar.Strings.escaped_by_preceding_backslash?/1                              306   0.00
Toxic.NormalTokenizer.Sigil.tokenize_upper_sigil_name/6                                    336   0.00
ToxicParser.Grammar.Maps.build_map_update_ast/4                                            348   0.00
ToxicParser.Grammar.Calls.build_access/3                                                   358   0.00
ToxicParser.Grammar.Calls.build_bracket_meta_with_newlines/3                               358   0.00
ToxicParser.Grammar.Calls.expect_token/2                                                   358   0.00
ToxicParser.Grammar.Calls.parse_bracket_arg_no_skip/3                                      358   0.00
Toxic.Driver.Contexts.find_missing_scope_terminator/1                                      389   0.00
Toxic.Driver.Contexts.pending_error/1                                                      389   0.00
:erlang.list_to_integer/2                                                                  404   0.00
:erlang.binary_to_atom/1                                                                   424   0.00
:erlang.binary_to_atom/2                                                                   424   0.00
:erlang.list_to_float/1                                                                    444   0.00
ToxicParser.Grammar.Maps.parse_map_update_candidate/3                                      450   0.00
ToxicParser.Grammar.DoBlocks.handle_do_identifier/9                                        460   0.00
ToxicParser.Grammar.Containers.add_parens_meta/3                                           464   0.00
ToxicParser.Grammar.Containers.build_parens_meta/2                                         464   0.00
ToxicParser.Grammar.Strings.parse_quoted_atom/6                                            472   0.00
anonymous fn/5 in ToxicParser.Grammar.Containers.parse_paren_content/5                     472   0.00
ToxicParser.Grammar.Containers.finish_paren_exprs/7                                        476   0.00
ToxicParser.Grammar.Containers.parse_expr_in_paren_with_meta/5                             476   0.00
ToxicParser.Grammar.Containers.parse_expr_in_paren_impl/6                                  484   0.00
ToxicParser.Grammar.Brackets.parse_bracket_arg_no_skip/2                                   619   0.00
ToxicParser.Grammar.Brackets.parse_single_container_expr/3                                 619   0.00
anonymous fn/3 in ToxicParser.Grammar.Brackets.parse_single_container_expr/3               619   0.00
ToxicParser.Grammar.Stabs.try_parse_stab_clause/3                                          682   0.00
ToxicParser.Grammar.Stabs.try_parse_stab_or_expr/6                                         682   0.00
Enum.drop_exact/2                                                                          688   0.00
Enum.slice_exact/5                                                                         688   0.00
anonymous fn/5 in Enum.slice_count_and_fun/2                                               688   0.00
ToxicParser.Grammar.Containers.parse_paren/4                                               728   0.00
ToxicParser.Grammar.Containers.parse_paren_content/5                                       728   0.00
ToxicParser.Grammar.Containers.skip_eoe_not_semicolon/1                                    732   0.00
ToxicParser.Pratt.parse_base_with_dots_and_calls/3                                         766   0.00
ToxicParser.Grammar.Maps.parse_map_args/5                                                  766   0.00
ToxicParser.Grammar.Maps.parse_map_base_expr/3                                             766   0.00
Toxic.Driver.Contexts.find_missing_context/1                                               778   0.00
Toxic.Driver.Contexts.find_missing_interpolation/1                                         778   0.00
String.Tokenizer.normalize_start/1                                                         879   0.00
String.Tokenizer.unicode_start/1                                                           879   0.00
String.Tokenizer.unicode_upper/1                                                           879   0.00
ToxicParser.Pratt.led_dots_and_calls/4                                                     904   0.00
Toxic.NormalTokenizer.maybe_warn_too_many_of_same_char/5                                   907   0.00
